"id","ts","min","max","avg","sum","cnt"
1616,"2018-06-21 09:30:00",0,5352,28,11628,411
1710,"2018-06-21 17:20:00",0,1604,15,6788,452
1684,"2018-06-21 15:10:00",0,38269,103,40499,390
1668,"2018-06-21 13:50:00",0,4922,17,7750,452
1641,"2018-06-21 11:35:00",0,488,14,5413,385
1634,"2018-06-21 11:00:00",0,3923,23,10163,441
1617,"2018-06-21 09:35:00",0,1449,7,3001,413
1626,"2018-06-21 10:20:00",0,2136,11,5149,453
1659,"2018-06-21 13:05:00",0,490,2,852,423
1692,"2018-06-21 15:50:00",0,1400,4,1837,398
1672,"2018-06-21 14:10:00",0,3364,9,3984,405
1648,"2018-06-21 12:10:00",0,983,16,6726,420
1618,"2018-06-21 09:40:00",0,1067,5,2745,502
1654,"2018-06-21 12:40:00",0,314,1,585,380
1642,"2018-06-21 11:40:00",0,1156,13,6114,451
1627,"2018-06-21 10:25:00",0,10155,23,12474,522
1635,"2018-06-21 11:05:00",0,992,19,7989,418
1664,"2018-06-21 13:30:00",0,1354,4,1876,406
1619,"2018-06-21 09:45:00",0,984,2,987,426
1701,"2018-06-21 16:35:00",0,232,2,831,359
1628,"2018-06-21 10:30:00",0,507,3,1660,441
1679,"2018-06-21 14:45:00",0,1429,13,6412,475
1649,"2018-06-21 12:15:00",0,1522,17,7114,416
1620,"2018-06-21 09:50:00",0,1633,7,3600,482
1636,"2018-06-21 11:10:00",0,1300,18,7339,405
1643,"2018-06-21 11:45:00",0,1654,17,7843,457
1660,"2018-06-21 13:10:00",0,407,3,1401,359
1629,"2018-06-21 10:35:00",0,573,9,3856,410
1621,"2018-06-21 09:55:00",0,1494,12,5232,412
1655,"2018-06-21 12:45:00",0,317,2,891,415
1676,"2018-06-21 14:30:00",0,425,3,1373,410
1637,"2018-06-21 11:15:00",0,3979,20,9598,473
1669,"2018-06-21 13:55:00",0,330,2,1010,415
1622,"2018-06-21 10:00:00",0,1080,13,5460,420
1630,"2018-06-21 10:40:00",0,1048,17,7856,446
1665,"2018-06-21 13:35:00",0,1066,8,3359,397
1644,"2018-06-21 11:50:00",0,2877,19,8126,413
1650,"2018-06-21 12:20:00",0,2953,25,10728,429
1638,"2018-06-21 11:20:00",0,240,6,2784,408
1623,"2018-06-21 10:05:00",0,1984,12,5429,427
1695,"2018-06-21 16:05:00",0,790,3,1463,419
1631,"2018-06-21 10:45:00",0,436,8,3612,411
1682,"2018-06-21 15:00:00",0,901,8,3732,419
1656,"2018-06-21 12:50:00",0,393,5,2375,441
1661,"2018-06-21 13:15:00",0,690,5,2068,395
1624,"2018-06-21 10:10:00",0,1251,6,2680,426
1645,"2018-06-21 11:55:00",0,616,11,4545,401
1632,"2018-06-21 10:50:00",0,2720,18,8015,440
1639,"2018-06-21 11:25:00",0,1654,20,8373,409
1673,"2018-06-21 14:15:00",0,822,5,2446,455
1625,"2018-06-21 10:15:00",0,873,7,2958,418
1651,"2018-06-21 12:25:00",0,1302,6,3026,449
1633,"2018-06-21 10:55:00",0,934,19,7752,404
1687,"2018-06-21 15:25:00",0,3943,22,8698,393
1646,"2018-06-21 12:00:00",0,936,13,5647,405
1640,"2018-06-21 11:30:00",0,1344,15,6317,410
1657,"2018-06-21 12:55:00",0,937,5,2342,439
1666,"2018-06-21 13:40:00",0,1235,5,2215,411
1652,"2018-06-21 12:30:00",0,836,2,1278,428
1670,"2018-06-21 14:00:00",0,329,3,1379,414
1662,"2018-06-21 13:20:00",0,3639,13,5792,421
1647,"2018-06-21 12:05:00",0,28631,81,33626,413
1689,"2018-06-21 15:35:00",0,734,6,2487,368
1677,"2018-06-21 14:35:00",0,658,5,2252,380
1658,"2018-06-21 13:00:00",0,2145,5,3023,513
1653,"2018-06-21 12:35:00",0,575,3,1289,419
1685,"2018-06-21 15:15:00",0,252,2,924,389
1680,"2018-06-21 14:50:00",0,1485,4,1915,436
1674,"2018-06-21 14:20:00",0,312,1,730,413
1667,"2018-06-21 13:45:00",0,555,2,1007,391
1663,"2018-06-21 13:25:00",0,609,3,1482,435
1671,"2018-06-21 14:05:00",0,1648,9,3664,395
1706,"2018-06-21 17:00:00",0,341,0,341,436
1683,"2018-06-21 15:05:00",0,24326,88,34311,389
1691,"2018-06-21 15:45:00",0,387,3,1438,392
1678,"2018-06-21 14:40:00",0,1756,8,3148,393
1675,"2018-06-21 14:25:00",0,1508,8,3377,397
1694,"2018-06-21 16:00:00",0,427,7,3235,439
1681,"2018-06-21 14:55:00",0,852,8,3150,393
1703,"2018-06-21 16:45:00",0,1061,3,1665,420
1686,"2018-06-21 15:20:00",0,2342,19,7980,412
1688,"2018-06-21 15:30:00",0,4630,15,6537,435
1693,"2018-06-21 15:55:00",0,1326,8,3702,419
1702,"2018-06-21 16:40:00",0,681,2,1246,419
1690,"2018-06-21 15:40:00",0,640,2,1208,404
1698,"2018-06-21 16:20:00",0,243,0,312,433
1697,"2018-06-21 16:15:00",0,3259,12,5996,485
1696,"2018-06-21 16:10:00",0,273,2,1207,438
1699,"2018-06-21 16:25:00",0,253,1,662,450
1700,"2018-06-21 16:30:00",0,0,0,0,437
1704,"2018-06-21 16:50:00",0,36514,302,140487,465
1705,"2018-06-21 16:55:00",0,3714,17,8203,462
1707,"2018-06-21 17:05:00",0,1312,7,3537,445
1708,"2018-06-21 17:10:00",0,8303,21,8958,426
1709,"2018-06-21 17:15:00",0,538,4,1902,446
1715,"2018-06-21 17:45:00",0,989,6,2635,399
1711,"2018-06-21 17:25:00",0,2555,10,4604,432
1712,"2018-06-21 17:30:00",0,492,2,971,430
1713,"2018-06-21 17:35:00",0,1052,9,4491,462
1714,"2018-06-21 17:40:00",0,249,1,615,420
1716,"2018-06-21 17:50:00",0,165,1,468,413
1717,"2018-06-21 17:55:00",0,350,5,2225,436
1785,"2018-06-21 23:35:00",0,2768,21,3268,153
1726,"2018-06-21 18:40:00",0,609,3,1265,416
1793,"2018-06-22 00:15:00",0,3727,49,7694,156
1742,"2018-06-21 20:00:00",0,349,3,1496,427
1769,"2018-06-21 22:15:00",0,993,4,1812,431
1718,"2018-06-21 18:00:00",0,1421,7,3185,415
1735,"2018-06-21 19:25:00",0,365,3,1211,398
1727,"2018-06-21 18:45:00",0,5999,37,16837,449
1773,"2018-06-21 22:35:00",0,1523,10,3421,336
1749,"2018-06-21 20:35:00",0,10107,81,29371,360
1760,"2018-06-21 21:30:00",0,2223,5,2543,424
1719,"2018-06-21 18:05:00",0,219,1,443,394
1755,"2018-06-21 21:05:00",0,59830,150,60026,399
1743,"2018-06-21 20:05:00",0,858,7,3205,401
1728,"2018-06-21 18:50:00",0,832,5,2797,499
1736,"2018-06-21 19:30:00",0,1815,7,2938,406
1720,"2018-06-21 18:10:00",0,456,2,1039,390
1802,"2018-06-22 01:00:00",0,7994,86,11225,130
1765,"2018-06-21 21:55:00",0,94,0,158,437
1729,"2018-06-21 18:55:00",0,2272,12,5733,444
1750,"2018-06-21 20:40:00",0,165,1,494,396
1721,"2018-06-21 18:15:00",0,1623,6,2630,400
1737,"2018-06-21 19:35:00",0,1397,6,2431,386
1783,"2018-06-21 23:25:00",0,2804,13,3875,288
1744,"2018-06-21 20:10:00",0,2246,7,2915,386
1780,"2018-06-21 23:10:00",0,661,3,981,255
1777,"2018-06-21 22:55:00",0,914,5,2409,414
1730,"2018-06-21 19:00:00",0,677,5,2265,392
1722,"2018-06-21 18:20:00",0,88269,199,90198,453
1756,"2018-06-21 21:10:00",0,135,0,167,412
1761,"2018-06-21 21:35:00",0,1579,12,4793,377
1738,"2018-06-21 19:40:00",0,815,5,2344,419
1770,"2018-06-21 22:20:00",0,1157,6,2399,398
1745,"2018-06-21 20:15:00",0,551,2,1188,411
1731,"2018-06-21 19:05:00",0,3317,11,4684,405
1723,"2018-06-21 18:25:00",0,47626,121,48422,398
1751,"2018-06-21 20:45:00",0,345,2,1130,431
1766,"2018-06-21 22:00:00",0,902,9,4696,478
1739,"2018-06-21 19:45:00",0,1904,8,3695,422
1724,"2018-06-21 18:30:00",0,2591,29,13208,450
1732,"2018-06-21 19:10:00",0,312,2,884,390
1807,"2018-06-22 01:25:00",0,494,12,2151,179
1757,"2018-06-21 21:15:00",0,227,1,679,402
1746,"2018-06-21 20:20:00",0,338,1,464,408
1725,"2018-06-21 18:35:00",0,176,1,585,379
1774,"2018-06-21 22:40:00",0,8185,21,8656,398
1733,"2018-06-21 19:15:00",0,739,5,2269,427
1740,"2018-06-21 19:50:00",0,12733,37,15079,405
1752,"2018-06-21 20:50:00",0,553,5,2046,397
1762,"2018-06-21 21:40:00",0,500,2,933,404
1788,"2018-06-21 23:50:00",0,505,9,1518,166
1747,"2018-06-21 20:25:00",0,1835,8,3608,411
1734,"2018-06-21 19:20:00",0,1372,8,3794,436
1741,"2018-06-21 19:55:00",0,739,5,2356,419
1790,"2018-06-22 00:00:00",0,496,3,496,152
1771,"2018-06-21 22:25:00",0,188,0,235,380
1767,"2018-06-21 22:05:00",0,543,3,1441,426
1753,"2018-06-21 20:55:00",0,4934,23,9538,401
1758,"2018-06-21 21:20:00",0,502,3,1280,395
1748,"2018-06-21 20:30:00",0,3558,16,6775,399
1763,"2018-06-21 21:45:00",0,610,2,1020,397
1786,"2018-06-21 23:40:00",0,1377,9,1709,174
1778,"2018-06-21 23:00:00",0,100789,255,101778,398
1754,"2018-06-21 21:00:00",0,185,0,219,407
1759,"2018-06-21 21:25:00",0,989,6,2816,439
1775,"2018-06-21 22:45:00",0,1771,6,3188,456
1781,"2018-06-21 23:15:00",0,386,5,852,143
1768,"2018-06-21 22:10:00",0,399,2,1082,391
1764,"2018-06-21 21:50:00",0,662,5,2407,411
1772,"2018-06-21 22:30:00",0,247,4,1657,393
1795,"2018-06-22 00:25:00",0,27,0,59,144
1784,"2018-06-21 23:30:00",0,329,4,746,153
1792,"2018-06-22 00:10:00",0,314,6,957,154
1803,"2018-06-22 01:05:00",0,992,6,1090,169
1776,"2018-06-21 22:50:00",0,343,2,1091,378
1779,"2018-06-21 23:05:00",0,1321,4,1930,393
1782,"2018-06-21 23:20:00",0,536,5,866,166
1805,"2018-06-22 01:15:00",0,8103,235,37601,160
1789,"2018-06-21 23:55:00",0,590,14,2164,154
1787,"2018-06-21 23:45:00",0,222,4,717,172
1794,"2018-06-22 00:20:00",0,21933,215,36690,170
1791,"2018-06-22 00:05:00",0,989,9,1899,210
1799,"2018-06-22 00:45:00",0,609,9,1436,152
1798,"2018-06-22 00:40:00",0,1987,26,4210,159
1797,"2018-06-22 00:35:00",0,0,0,0,172
1800,"2018-06-22 00:50:00",0,5032,37,5747,152
1796,"2018-06-22 00:30:00",0,659,6,1164,176
1801,"2018-06-22 00:55:00",0,7747,70,8898,127
