"id","cnt","ts"
454,81,"2018-07-04 14:00:00"
450,83,"2018-07-04 10:00:00"
438,74,"2018-07-03 22:00:00"
431,82,"2018-07-03 15:00:00"
441,77,"2018-07-04 01:00:00"
511,46,"2018-07-06 23:00:00"
510,51,"2018-07-06 22:00:00"
491,67,"2018-07-06 03:00:00"
463,69,"2018-07-04 23:00:00"
494,76,"2018-07-06 06:00:00"
437,88,"2018-07-03 21:00:00"
487,69,"2018-07-05 23:00:00"
457,83,"2018-07-04 17:00:00"
462,71,"2018-07-04 22:00:00"
449,84,"2018-07-04 09:00:00"
480,76,"2018-07-05 16:00:00"
444,67,"2018-07-04 04:00:00"
445,80,"2018-07-04 05:00:00"
453,84,"2018-07-04 13:00:00"
507,68,"2018-07-06 19:00:00"
477,82,"2018-07-05 13:00:00"
472,74,"2018-07-05 08:00:00"
475,93,"2018-07-05 11:00:00"
461,75,"2018-07-04 21:00:00"
465,58,"2018-07-05 01:00:00"
448,83,"2018-07-04 08:00:00"
466,73,"2018-07-05 02:00:00"
456,80,"2018-07-04 16:00:00"
452,82,"2018-07-04 12:00:00"
498,83,"2018-07-06 10:00:00"
467,72,"2018-07-05 03:00:00"
460,84,"2018-07-04 20:00:00"
497,82,"2018-07-06 09:00:00"
490,68,"2018-07-06 02:00:00"
495,89,"2018-07-06 07:00:00"
468,78,"2018-07-05 04:00:00"
508,72,"2018-07-06 20:00:00"
479,91,"2018-07-05 15:00:00"
473,86,"2018-07-05 09:00:00"
502,87,"2018-07-06 14:00:00"
469,75,"2018-07-05 05:00:00"
499,108,"2018-07-06 11:00:00"
488,64,"2018-07-06 00:00:00"
501,83,"2018-07-06 13:00:00"
484,80,"2018-07-05 20:00:00"
483,84,"2018-07-05 19:00:00"
489,65,"2018-07-06 01:00:00"
485,83,"2018-07-05 21:00:00"
506,84,"2018-07-06 18:00:00"
496,88,"2018-07-06 08:00:00"
503,92,"2018-07-06 15:00:00"
500,84,"2018-07-06 12:00:00"
504,94,"2018-07-06 16:00:00"
509,72,"2018-07-06 21:00:00"
505,100,"2018-07-06 17:00:00"
512,45,"2018-07-07 00:00:00"
599,82,"2018-07-10 15:00:00"
515,60,"2018-07-07 03:00:00"
520,67,"2018-07-07 08:00:00"
580,89,"2018-07-09 20:00:00"
561,40,"2018-07-09 01:00:00"
569,67,"2018-07-09 09:00:00"
513,43,"2018-07-07 01:00:00"
525,62,"2018-07-07 13:00:00"
530,65,"2018-07-07 18:00:00"
537,42,"2018-07-08 01:00:00"
616,91,"2018-07-11 08:00:00"
592,85,"2018-07-10 08:00:00"
518,54,"2018-07-07 06:00:00"
533,65,"2018-07-07 21:00:00"
540,50,"2018-07-08 04:00:00"
594,91,"2018-07-10 10:00:00"
558,55,"2018-07-08 22:00:00"
523,66,"2018-07-07 11:00:00"
585,66,"2018-07-10 01:00:00"
590,83,"2018-07-10 06:00:00"
528,68,"2018-07-07 16:00:00"
516,49,"2018-07-07 04:00:00"
566,72,"2018-07-09 06:00:00"
521,65,"2018-07-07 09:00:00"
514,50,"2018-07-07 02:00:00"
536,45,"2018-07-08 00:00:00"
607,55,"2018-07-10 23:00:00"
573,78,"2018-07-09 13:00:00"
543,61,"2018-07-08 07:00:00"
519,54,"2018-07-07 07:00:00"
546,68,"2018-07-08 10:00:00"
526,60,"2018-07-07 14:00:00"
531,71,"2018-07-07 19:00:00"
549,62,"2018-07-08 13:00:00"
552,74,"2018-07-08 16:00:00"
555,79,"2018-07-08 19:00:00"
538,44,"2018-07-08 02:00:00"
534,60,"2018-07-07 22:00:00"
524,60,"2018-07-07 12:00:00"
517,50,"2018-07-07 05:00:00"
602,89,"2018-07-10 18:00:00"
625,80,"2018-07-11 17:00:00"
562,45,"2018-07-09 02:00:00"
529,66,"2018-07-07 17:00:00"
577,94,"2018-07-09 17:00:00"
522,73,"2018-07-07 10:00:00"
584,72,"2018-07-10 00:00:00"
541,46,"2018-07-08 05:00:00"
588,65,"2018-07-10 04:00:00"
559,49,"2018-07-08 23:00:00"
532,80,"2018-07-07 20:00:00"
527,72,"2018-07-07 15:00:00"
570,69,"2018-07-09 10:00:00"
638,78,"2018-07-12 06:00:00"
544,57,"2018-07-08 08:00:00"
581,73,"2018-07-09 21:00:00"
547,68,"2018-07-08 11:00:00"
596,88,"2018-07-10 12:00:00"
539,52,"2018-07-08 03:00:00"
629,51,"2018-07-11 21:00:00"
550,54,"2018-07-08 14:00:00"
535,55,"2018-07-07 23:00:00"
622,106,"2018-07-11 14:00:00"
567,76,"2018-07-09 07:00:00"
553,69,"2018-07-08 17:00:00"
556,72,"2018-07-08 20:00:00"
563,40,"2018-07-09 03:00:00"
630,76,"2018-07-11 22:00:00"
606,80,"2018-07-10 22:00:00"
620,91,"2018-07-11 12:00:00"
542,57,"2018-07-08 06:00:00"
574,63,"2018-07-09 14:00:00"
617,93,"2018-07-11 09:00:00"
628,54,"2018-07-11 20:00:00"
545,66,"2018-07-08 09:00:00"
578,97,"2018-07-09 18:00:00"
560,44,"2018-07-09 00:00:00"
548,76,"2018-07-08 12:00:00"
598,81,"2018-07-10 14:00:00"
586,58,"2018-07-10 02:00:00"
551,58,"2018-07-08 15:00:00"
601,87,"2018-07-10 17:00:00"
571,73,"2018-07-09 11:00:00"
564,41,"2018-07-09 04:00:00"
554,68,"2018-07-08 18:00:00"
557,71,"2018-07-08 21:00:00"
657,56,"2018-07-13 01:00:00"
637,64,"2018-07-12 05:00:00"
605,77,"2018-07-10 21:00:00"
568,73,"2018-07-09 08:00:00"
582,71,"2018-07-09 22:00:00"
631,69,"2018-07-11 23:00:00"
624,90,"2018-07-11 16:00:00"
575,66,"2018-07-09 15:00:00"
591,84,"2018-07-10 07:00:00"
593,86,"2018-07-10 09:00:00"
565,49,"2018-07-09 05:00:00"
634,58,"2018-07-12 02:00:00"
589,95,"2018-07-10 05:00:00"
579,84,"2018-07-09 19:00:00"
610,59,"2018-07-11 02:00:00"
572,85,"2018-07-09 12:00:00"
611,63,"2018-07-11 03:00:00"
595,84,"2018-07-10 11:00:00"
604,91,"2018-07-10 20:00:00"
612,65,"2018-07-11 04:00:00"
609,54,"2018-07-11 01:00:00"
576,82,"2018-07-09 16:00:00"
600,84,"2018-07-10 16:00:00"
587,58,"2018-07-10 03:00:00"
583,68,"2018-07-09 23:00:00"
618,93,"2018-07-11 10:00:00"
597,84,"2018-07-10 13:00:00"
613,62,"2018-07-11 05:00:00"
639,89,"2018-07-12 07:00:00"
627,66,"2018-07-11 19:00:00"
642,69,"2018-07-12 10:00:00"
603,88,"2018-07-10 19:00:00"
614,75,"2018-07-11 06:00:00"
621,105,"2018-07-11 13:00:00"
632,64,"2018-07-12 00:00:00"
636,70,"2018-07-12 04:00:00"
608,58,"2018-07-11 00:00:00"
615,81,"2018-07-11 07:00:00"
623,86,"2018-07-11 15:00:00"
619,93,"2018-07-11 11:00:00"
645,86,"2018-07-12 13:00:00"
626,72,"2018-07-11 18:00:00"
653,74,"2018-07-12 21:00:00"
640,91,"2018-07-12 08:00:00"
660,52,"2018-07-13 04:00:00"
662,68,"2018-07-13 06:00:00"
635,64,"2018-07-12 03:00:00"
633,64,"2018-07-12 01:00:00"
658,57,"2018-07-13 02:00:00"
650,97,"2018-07-12 18:00:00"
647,66,"2018-07-12 15:00:00"
641,84,"2018-07-12 09:00:00"
655,62,"2018-07-12 23:00:00"
649,94,"2018-07-12 17:00:00"
646,84,"2018-07-12 14:00:00"
643,71,"2018-07-12 11:00:00"
644,70,"2018-07-12 12:00:00"
648,67,"2018-07-12 16:00:00"
651,109,"2018-07-12 19:00:00"
709,58,"2018-07-15 05:00:00"
689,73,"2018-07-14 09:00:00"
659,63,"2018-07-13 03:00:00"
690,76,"2018-07-14 10:00:00"
661,52,"2018-07-13 05:00:00"
652,82,"2018-07-12 20:00:00"
691,82,"2018-07-14 11:00:00"
692,80,"2018-07-14 12:00:00"
663,84,"2018-07-13 07:00:00"
693,77,"2018-07-14 13:00:00"
694,72,"2018-07-14 14:00:00"
695,68,"2018-07-14 15:00:00"
654,71,"2018-07-12 22:00:00"
664,87,"2018-07-13 08:00:00"
733,62,"2018-07-16 05:00:00"
696,75,"2018-07-14 16:00:00"
710,74,"2018-07-15 06:00:00"
697,82,"2018-07-14 17:00:00"
665,88,"2018-07-13 09:00:00"
698,71,"2018-07-14 18:00:00"
656,66,"2018-07-13 00:00:00"
699,71,"2018-07-14 19:00:00"
700,75,"2018-07-14 20:00:00"
738,89,"2018-07-16 13:00:00"
666,88,"2018-07-13 10:00:00"
701,67,"2018-07-14 21:00:00"
702,71,"2018-07-14 22:00:00"
703,65,"2018-07-14 23:00:00"
667,87,"2018-07-13 11:00:00"
704,63,"2018-07-15 00:00:00"
668,89,"2018-07-13 12:00:00"
718,77,"2018-07-15 14:00:00"
711,72,"2018-07-15 07:00:00"
669,92,"2018-07-13 13:00:00"
672,80,"2018-07-13 16:00:00"
670,89,"2018-07-13 14:00:00"
721,76,"2018-07-15 17:00:00"
671,85,"2018-07-13 15:00:00"
732,63,"2018-07-16 04:00:00"
673,82,"2018-07-13 17:00:00"
735,95,"2018-07-16 10:00:00"
723,82,"2018-07-15 19:00:00"
674,95,"2018-07-13 18:00:00"
712,83,"2018-07-15 08:00:00"
675,83,"2018-07-13 19:00:00"
719,88,"2018-07-15 15:00:00"
676,83,"2018-07-13 20:00:00"
728,66,"2018-07-16 00:00:00"
677,71,"2018-07-13 21:00:00"
713,82,"2018-07-15 09:00:00"
678,71,"2018-07-13 22:00:00"
727,60,"2018-07-15 23:00:00"
679,64,"2018-07-13 23:00:00"
680,67,"2018-07-14 00:00:00"
714,79,"2018-07-15 10:00:00"
681,66,"2018-07-14 01:00:00"
724,79,"2018-07-15 20:00:00"
682,59,"2018-07-14 02:00:00"
683,60,"2018-07-14 03:00:00"
720,83,"2018-07-15 16:00:00"
684,67,"2018-07-14 04:00:00"
685,64,"2018-07-14 05:00:00"
686,74,"2018-07-14 06:00:00"
687,92,"2018-07-14 07:00:00"
715,81,"2018-07-15 11:00:00"
688,87,"2018-07-14 08:00:00"
725,81,"2018-07-15 21:00:00"
734,85,"2018-07-16 09:00:00"
729,57,"2018-07-16 01:00:00"
716,78,"2018-07-15 12:00:00"
706,59,"2018-07-15 02:00:00"
705,60,"2018-07-15 01:00:00"
707,63,"2018-07-15 03:00:00"
731,61,"2018-07-16 03:00:00"
708,57,"2018-07-15 04:00:00"
736,103,"2018-07-16 11:00:00"
737,93,"2018-07-16 12:00:00"
