"id","ts","min","max","avg","p50","p95","p99","sum","cnt"
1136,"2018-06-01 19:00:00",1,1523,4,1,24,41,7783,1712
1146,"2018-06-02 05:00:00",1,481,1,1,3,14,2027,1165
1133,"2018-06-01 16:00:00",1,38,2,1,10,16,4482,1883
1117,"2018-06-01 00:00:00",1,36,7,7,11,12,8219,1164
1138,"2018-06-01 21:00:00",1,38,4,1,12,16,4279,1028
1139,"2018-06-01 22:00:00",1,36,3,1,12,15,4582,1282
1147,"2018-06-02 06:00:00",1,31,1,1,2,6,1995,1633
1125,"2018-06-01 08:00:00",1,1642,3,1,13,78,7181,1814
1120,"2018-06-01 03:00:00",1,85,7,8,12,13,9193,1238
1134,"2018-06-01 17:00:00",1,181,2,1,10,15,3373,1488
1123,"2018-06-01 06:00:00",1,1435,8,2,40,82,15260,1720
1156,"2018-06-02 15:00:00",1,234,2,1,5,14,2161,882
1127,"2018-06-01 10:00:00",1,3133,4,1,10,69,6279,1443
1137,"2018-06-01 20:00:00",1,54,3,1,12,16,3854,1171
1142,"2018-06-02 01:00:00",1,37,3,1,9,12,3471,1096
1184,"2018-06-03 19:00:00",1,871,2,1,6,12,4386,1941
1189,"2018-06-04 00:00:00",1,19,1,1,3,5,1070,827
1141,"2018-06-02 00:00:00",1,42,3,2,13,15,4545,1153
1126,"2018-06-01 09:00:00",1,503,1,1,1,4,3729,2896
1191,"2018-06-04 02:00:00",1,34,1,1,4,6,1314,751
1118,"2018-06-01 01:00:00",1,23,8,9,12,13,8652,1058
1129,"2018-06-01 12:00:00",1,33,1,1,3,7,1575,1153
1128,"2018-06-01 11:00:00",1,701,2,1,8,17,2547,1113
1149,"2018-06-02 08:00:00",1,69,1,1,2,6,2517,2032
1121,"2018-06-01 04:00:00",1,162,6,7,12,17,8217,1225
1171,"2018-06-03 06:00:00",1,1964,6,1,10,37,5180,830
1175,"2018-06-03 10:00:00",1,805,1,1,2,18,2384,1312
1124,"2018-06-01 07:00:00",1,33,1,1,2,6,1450,1100
1140,"2018-06-01 23:00:00",1,37,3,2,12,14,4332,1127
1157,"2018-06-02 16:00:00",1,1204,2,1,10,26,3798,1497
1179,"2018-06-03 14:00:00",1,2197,4,1,22,42,8205,1912
1161,"2018-06-02 20:00:00",1,2400,13,1,40,52,19158,1388
1168,"2018-06-03 03:00:00",1,39,3,2,5,6,2251,641
1173,"2018-06-03 08:00:00",1,17,1,1,1,4,2117,1897
1132,"2018-06-01 15:00:00",1,674,3,1,11,26,4407,1275
1181,"2018-06-03 16:00:00",1,19,1,1,2,4,2562,2228
1150,"2018-06-02 09:00:00",1,715,2,1,12,27,2873,1167
1163,"2018-06-02 22:00:00",1,33,1,1,4,5,1051,749
1145,"2018-06-02 04:00:00",1,752,2,1,3,28,3133,1410
1148,"2018-06-02 07:00:00",1,501,2,1,10,15,3839,1799
1155,"2018-06-02 14:00:00",1,21,1,1,2,4,1328,1096
1135,"2018-06-01 18:00:00",1,474,3,1,11,18,4984,1630
1151,"2018-06-02 10:00:00",1,25,1,1,2,4,1228,965
1180,"2018-06-03 15:00:00",1,45,1,1,3,9,2654,1942
1144,"2018-06-02 03:00:00",1,16,1,1,2,4,988,828
1154,"2018-06-02 13:00:00",1,21,1,1,2,5,1534,1275
1143,"2018-06-02 02:00:00",1,15,1,1,2,3,1021,866
1159,"2018-06-02 18:00:00",1,644,2,1,4,21,2851,1280
1174,"2018-06-03 09:00:00",1,1804,3,1,14,37,6019,1648
1153,"2018-06-02 12:00:00",1,37,1,1,2,5,1447,1144
1185,"2018-06-03 20:00:00",1,23,1,1,2,5,2149,1665
1169,"2018-06-03 04:00:00",1,102,1,1,5,6,607,312
1162,"2018-06-02 21:00:00",1,315,1,1,5,10,1446,748
1158,"2018-06-02 17:00:00",1,1732,3,1,10,38,4565,1246
1167,"2018-06-03 02:00:00",1,41,2,1,4,5,770,374
1164,"2018-06-02 23:00:00",1,38,2,2,5,5,711,323
1160,"2018-06-02 19:00:00",1,1863,5,1,35,39,8254,1523
1183,"2018-06-03 18:00:00",1,191,1,1,2,8,2937,2303
1176,"2018-06-03 11:00:00",1,307,1,1,2,7,2367,1504
1166,"2018-06-03 01:00:00",1,36,1,1,5,5,517,274
1177,"2018-06-03 12:00:00",1,826,1,1,1,17,4206,2614
1172,"2018-06-03 07:00:00",1,1735,4,1,22,33,5686,1170
1178,"2018-06-03 13:00:00",1,853,2,1,6,13,5684,2733
1186,"2018-06-03 21:00:00",1,38,1,1,2,4,1656,1302
1188,"2018-06-03 23:00:00",1,14,1,1,2,4,1335,883
1182,"2018-06-03 17:00:00",1,1941,2,1,2,12,6550,2919
1193,"2018-06-04 04:00:00",1,2999,11,1,52,59,13064,1177
1187,"2018-06-03 22:00:00",1,16,1,1,2,4,1268,959
1190,"2018-06-04 01:00:00",1,29,1,1,3,4,1195,808
1194,"2018-06-04 05:00:00",1,1808,3,1,3,64,6885,2073
1196,"2018-06-04 07:00:00",1,2594,5,1,42,67,11724,2144
1192,"2018-06-04 03:00:00",1,31,1,1,3,4,1415,820
1195,"2018-06-04 06:00:00",1,3043,9,1,36,57,27654,2832
1199,"2018-06-04 10:00:00",1,1158,2,1,2,13,4052,1677
1197,"2018-06-04 08:00:00",1,38,1,1,2,6,3068,2423
1198,"2018-06-04 09:00:00",1,2251,8,1,36,49,15313,1746
1202,"2018-06-04 13:00:00",1,1808,3,1,3,43,6300,1712
1200,"2018-06-04 11:00:00",1,1170,1,1,2,29,3683,1896
1201,"2018-06-04 12:00:00",1,1570,2,1,2,33,4396,2196
1203,"2018-06-04 14:00:00",1,340,1,1,8,10,2532,1578
1204,"2018-06-04 15:00:00",1,212,1,1,3,9,2683,1695
1205,"2018-06-04 16:00:00",1,1038,1,1,19,25,3428,1899
1206,"2018-06-04 17:00:00",1,666,1,1,2,5,2845,1774
1207,"2018-06-04 18:00:00",1,255,1,1,1,11,2483,1669
1242,"2018-06-15 04:00:00",1,261,3,1,12,14,1481,472
1216,"2018-06-05 03:00:00",1,35,3,1,11,13,2064,541
1235,"2018-06-14 21:00:00",1,537,1,1,2,15,2062,1155
1222,"2018-06-14 08:00:00",1,415,2,1,3,18,5372,2094
1212,"2018-06-04 23:00:00",1,20,1,1,6,6,805,406
1208,"2018-06-04 19:00:00",1,2026,8,1,35,58,21946,2694
1260,"2018-06-15 22:00:00",1,42,4,3,14,17,4442,938
1239,"2018-06-15 01:00:00",1,34,2,2,6,7,775,275
1225,"2018-06-14 11:00:00",1,1480,2,1,3,12,5524,2356
1274,"2018-06-16 12:00:00",1,246,1,1,3,13,2391,1527
1245,"2018-06-15 07:00:00",1,332,1,1,3,16,3792,2122
1211,"2018-06-04 22:00:00",1,36,2,1,8,9,1282,574
1241,"2018-06-15 03:00:00",1,40,2,2,5,7,1362,501
1278,"2018-06-16 16:00:00",1,1155,1,1,2,10,3855,2035
1275,"2018-06-16 13:00:00",1,781,1,1,2,18,2532,1404
1221,"2018-06-14 07:00:00",1,43,2,1,9,26,367,149
1252,"2018-06-15 14:00:00",1,44,2,1,13,18,4528,1625
1214,"2018-06-05 01:00:00",1,30,2,1,6,8,1135,499
1215,"2018-06-05 02:00:00",1,2941,8,1,57,57,4051,467
1234,"2018-06-14 20:00:00",1,1737,2,1,3,33,3514,1411
1247,"2018-06-15 09:00:00",1,55,1,1,6,13,3339,1701
1210,"2018-06-04 21:00:00",1,34,1,1,2,5,1565,1234
1213,"2018-06-05 00:00:00",1,29,2,1,9,9,1073,382
1236,"2018-06-14 22:00:00",1,36,1,1,4,6,1343,880
1228,"2018-06-14 14:00:00",1,876,2,1,3,25,2944,1319
1230,"2018-06-14 16:00:00",1,20,1,1,3,7,1760,1186
1226,"2018-06-14 12:00:00",1,1244,3,1,3,48,4523,1442
1219,"2018-06-05 06:00:00",1,1530,5,1,21,54,9685,1916
1218,"2018-06-05 05:00:00",1,55,2,1,9,13,3732,1472
1227,"2018-06-14 13:00:00",1,35,1,1,2,5,1617,1268
1217,"2018-06-05 04:00:00",1,183,3,2,15,17,3058,793
1209,"2018-06-04 20:00:00",1,1232,2,1,5,43,5412,1974
1220,"2018-06-05 07:00:00",1,424,2,1,8,14,4770,1842
1237,"2018-06-14 23:00:00",1,32,1,1,4,4,649,394
1262,"2018-06-16 00:00:00",1,34,2,1,6,6,838,392
1238,"2018-06-15 00:00:00",1,52,2,1,6,7,718,285
1259,"2018-06-15 21:00:00",1,39,4,2,13,17,4734,1080
1249,"2018-06-15 11:00:00",1,63,2,1,11,19,5486,2438
1233,"2018-06-14 19:00:00",1,33,1,1,5,8,2821,1609
1276,"2018-06-16 14:00:00",1,953,4,1,16,41,6826,1457
1253,"2018-06-15 15:00:00",1,736,3,1,11,32,5665,1871
1251,"2018-06-15 13:00:00",1,82,2,1,10,16,4271,1748
1231,"2018-06-14 17:00:00",1,41,1,1,2,5,2549,2056
1224,"2018-06-14 10:00:00",1,621,1,1,6,16,4355,2394
1223,"2018-06-14 09:00:00",1,1209,2,1,2,49,5888,2643
1240,"2018-06-15 02:00:00",1,34,2,1,6,7,975,356
1267,"2018-06-16 05:00:00",1,69,2,1,7,9,985,473
1229,"2018-06-14 15:00:00",1,1873,12,2,12,97,24484,2023
1279,"2018-06-16 17:00:00",1,525,1,1,2,14,3608,1975
1269,"2018-06-16 07:00:00",1,327,2,1,9,12,2640,1025
1250,"2018-06-15 12:00:00",1,10463,19,1,100,200,33527,1691
1257,"2018-06-15 19:00:00",1,927,3,1,13,33,6929,1862
1261,"2018-06-15 23:00:00",1,37,1,1,5,8,1647,926
1246,"2018-06-15 08:00:00",1,2904,14,1,110,197,23247,1622
1232,"2018-06-14 18:00:00",1,42,1,1,2,6,2052,1618
1243,"2018-06-15 05:00:00",1,74,1,1,4,13,2402,1346
1248,"2018-06-15 10:00:00",1,1152,7,1,27,39,15903,2226
1254,"2018-06-15 16:00:00",1,1473,3,1,11,41,6115,1738
1244,"2018-06-15 06:00:00",1,48,1,1,3,9,2525,1757
1258,"2018-06-15 20:00:00",1,328,4,1,13,24,5432,1237
1256,"2018-06-15 18:00:00",1,52,2,1,12,17,4615,1552
1266,"2018-06-16 04:00:00",1,100,3,1,11,12,1102,348
1263,"2018-06-16 01:00:00",1,30,2,1,4,5,764,338
1264,"2018-06-16 02:00:00",1,47,2,1,6,6,706,299
1273,"2018-06-16 11:00:00",1,37,1,1,2,5,2412,1894
1255,"2018-06-15 17:00:00",1,32,2,1,11,16,3847,1357
1270,"2018-06-16 08:00:00",1,2985,16,1,40,50,19818,1206
1265,"2018-06-16 03:00:00",1,38,2,1,5,5,742,356
1272,"2018-06-16 10:00:00",1,35,1,1,2,5,2148,1698
1282,"2018-06-16 20:00:00",1,22,1,1,2,5,1821,1519
1268,"2018-06-16 06:00:00",1,154,1,1,3,9,1858,1184
1277,"2018-06-16 15:00:00",1,61,1,1,5,9,2322,1369
1271,"2018-06-16 09:00:00",1,302,1,1,3,10,2410,1631
1285,"2018-06-16 23:00:00",1,2374,24,1,41,46,18684,755
1283,"2018-06-16 21:00:00",1,16,1,1,2,4,1467,1181
1280,"2018-06-16 18:00:00",1,594,2,1,2,10,4453,2038
1287,"2018-06-17 01:00:00",1,40,1,1,4,6,1594,916
1284,"2018-06-16 22:00:00",1,2262,8,1,40,43,8874,1069
1281,"2018-06-16 19:00:00",1,511,2,2,3,15,7783,2794
1286,"2018-06-17 00:00:00",1,39,1,1,3,6,1430,746
1288,"2018-06-17 02:00:00",1,20,1,1,2,3,755,608
1289,"2018-06-17 03:00:00",1,20,1,1,2,4,900,694
1290,"2018-06-17 04:00:00",1,150,1,1,5,9,1656,1141
1291,"2018-06-17 05:00:00",1,65,1,1,1,4,1500,1223
1292,"2018-06-17 06:00:00",1,192,1,1,2,8,2001,1454
1293,"2018-06-17 07:00:00",1,69,1,1,3,9,2251,1585
1294,"2018-06-17 08:00:00",1,70,1,1,3,6,2242,1666
1295,"2018-06-17 09:00:00",1,140,1,1,3,7,2209,1668
1296,"2018-06-17 10:00:00",1,792,2,1,2,18,3732,1760
1297,"2018-06-17 11:00:00",1,273,1,1,2,10,2653,1886
1298,"2018-06-17 12:00:00",1,1232,3,1,5,33,5894,1937
1333,"2018-06-19 01:00:00",1,43,6,7,13,15,8579,1273
1314,"2018-06-18 04:00:00",1,186,2,1,8,15,1833,791
1355,"2018-06-19 23:00:00",1,47,9,10,13,16,44474,4895
1363,"2018-06-20 07:00:00",1,675,5,1,16,35,13732,2625
1309,"2018-06-17 23:00:00",1,62,1,1,5,6,1153,751
1303,"2018-06-17 17:00:00",1,473,1,1,3,15,4277,2470
1338,"2018-06-19 06:00:00",1,1790,8,1,14,89,23274,2631
