"id","ts","cnt","l1","l2","l3","l4","apmi"
1857,"2018-07-11 02:00:00",137,137,0,0,0,100
1840,"2018-07-10 09:00:00",1623,1623,0,0,0,100
1908,"2018-07-13 05:00:00",628,628,0,0,0,100
1897,"2018-07-12 18:00:00",2188,2162,7,19,0,99.4858
1878,"2018-07-11 23:00:00",177,177,0,0,0,100
1845,"2018-07-10 14:00:00",4644,4644,0,0,0,100
1888,"2018-07-12 09:00:00",1211,1208,3,0,0,99.9381
1900,"2018-07-12 21:00:00",314,314,0,0,0,100
1892,"2018-07-12 13:00:00",831,831,0,0,0,100
1860,"2018-07-11 05:00:00",1106,1106,0,0,0,100
1850,"2018-07-10 19:00:00",1378,1378,0,0,0,100
1882,"2018-07-12 03:00:00",151,151,0,0,0,100
1869,"2018-07-11 14:00:00",923,920,3,0,0,99.9187
1841,"2018-07-10 10:00:00",1371,1371,0,0,0,100
1879,"2018-07-12 00:00:00",183,183,0,0,0,100
1854,"2018-07-10 23:00:00",338,338,0,0,0,100
1871,"2018-07-11 16:00:00",1144,1144,0,0,0,100
1867,"2018-07-11 12:00:00",575,575,0,0,0,100
1856,"2018-07-11 01:00:00",129,129,0,0,0,100
1846,"2018-07-10 15:00:00",4476,4476,0,0,0,100
1851,"2018-07-10 20:00:00",825,825,0,0,0,100
1874,"2018-07-11 19:00:00",1210,1210,0,0,0,100
1920,"2018-07-13 17:00:00",1036,1036,0,0,0,100
1852,"2018-07-10 21:00:00",332,332,0,0,0,100
1842,"2018-07-10 11:00:00",1643,1643,0,0,0,100
1853,"2018-07-10 22:00:00",400,400,0,0,0,100
1925,"2018-07-13 22:00:00",514,514,0,0,0,100
1905,"2018-07-13 02:00:00",108,108,0,0,0,100
1903,"2018-07-13 00:00:00",126,126,0,0,0,100
1865,"2018-07-11 10:00:00",1809,1809,0,0,0,100
1847,"2018-07-10 16:00:00",4843,4843,0,0,0,100
1927,"2018-07-14 00:00:00",247,247,0,0,0,100
1912,"2018-07-13 09:00:00",1893,1893,0,0,0,100
1863,"2018-07-11 08:00:00",1859,1859,0,0,0,100
1911,"2018-07-13 08:00:00",1625,1625,0,0,0,100
1876,"2018-07-11 21:00:00",484,484,0,0,0,100
1893,"2018-07-12 14:00:00",938,938,0,0,0,100
1861,"2018-07-11 06:00:00",1804,1804,0,0,0,100
1913,"2018-07-13 10:00:00",1336,1336,0,0,0,100
1873,"2018-07-11 18:00:00",1472,1472,0,0,0,100
1896,"2018-07-12 17:00:00",1270,1270,0,0,0,100
1910,"2018-07-13 07:00:00",1753,1753,0,0,0,100
1870,"2018-07-11 15:00:00",831,831,0,0,0,100
1868,"2018-07-11 13:00:00",792,792,0,0,0,100
1937,"2018-07-14 10:00:00",657,657,0,0,0,100
1933,"2018-07-14 06:00:00",1188,1185,3,0,0,99.9369
1917,"2018-07-13 14:00:00",999,999,0,0,0,100
